Loan_ID,Customer_ID,Loan_Amount,Loan_Type,Interest_Rate,Loan_Term,Loan_Status,Debt_to_Income_Ratio
LOAN001761,CUST03839,"699,890",car loan,9.32,48,ACTIVE, 
LOAN011811,CUST04628,"₹1,818,751",Mortgage,9.95,,ongoing,0.0
LOAN000665,CUST03839,1167099,HOME LOAN,nan,84,ACTIVE,0.0
LOAN004952,CUST02643,320947,Personal Loan,12.34,60,Paid Off,0.0
LOAN004706,CUST01025,0,SME Loan,12.35,120,Active,0.0
LOAN005107,NULL,2264404,Business Loan,11.95,60,Ongoing,0.0
LOAN007740,CUST05434,1885066,BUSINESS LOAN,12.65,240,Paid Off,0.99
LOAN001021,CUST04790,494604,personal loan,13.46,36,Paid,0.66
LOAN003785,CUST04827,Unknown,business loan,11.52,12,Paid Off,0.01
LOAN007665,CUST00840,2618109,Mortgage,9.78,60,Closed,0.99
LOAN002092,CUST05347,321804,Personal Loan,15.01,180,Current,N/A
LOAN000707,CUST05707,552904,Car Loan,11.41,24,ACTIVE,0.0
LOAN007377,CUST01025,330111,PERSONAL LOAN,13.93,48,Active,0.0
LOAN010536,CUST04289,986315,HOME LOAN,8.21,60,Paid,0.99
LOAN000315,CUST02173,314619,Personal,12.44,240,Closed,0.0
LOAN010698,CUST05328,2172869,Mortgage,9.03,36,Ongoing,0.01
LOAN006116,CUST05240,409339,personal loan,13.68,120,N/A,0.2
LOAN002763,CUST03824,1131667,CAR LOAN,11.59,180,Paid Off,0.0
LOAN001198,CUST03585,624826,CAR LOAN,11.72,60,Fully Paid,0.99
LOAN000760,CUST00090,"₹464,108",personal loan,14.09,180,DEFAULT,0.0
LOAN009272,CUST03824,4499857,home loan,10.05,84,PAID,0.01
LOAN008787,CUST05823,1570235,SME Loan,12.69,24,CLOSED,0.01
LOAN006228,CUST02643,2145905,nan,11.6,240,ongoing,0.0
LOAN007024,CUST03054,1163664,Vehicle Loan,9.64,24,Bad Debt,0.99
LOAN009398,CUST03662,367785,education loan,10.84,180,ONGOING,0.26
LOAN004358,CUST03173,431079,personal loan,12.08,240,Defaulted,0.38
LOAN003628,CUST01543,"₹184,325",PL,14.17,84,CLOSED,0.28
LOAN002623,CUST01281,"₹2,148,191",Home Loan,9.36,60,Paid,0.0
LOAN002511,CUST01281,713830,Auto Loan,11.04,120,Current,0.0
LOAN009957,CUST05823,"₹988,620",Vehicle Loan,11.79,24,Paid Off,0.0
LOAN003433,CUST00587,764246,Housing Loan,9.54,36,Fully Paid,0.0
LOAN010470,CUST00247,3574957,home loan,8.73,36,ONGOING,0.01
LOAN003796,CUST05511,439711,Education Loan,9.02,120,Paid,0.18
LOAN008745,CUST04733,"₹365,855",personal loan,11.89,24,PAID,0.99
LOAN009508,CUST02643,425103,Student Loan,9.47,24,PAID,0.0
LOAN010966,CUST03677,1117550,CAR LOAN,10.46,-12,CLOSED,0.01
LOAN000302,CUST00015,615031,Vehicle Loan,18.96,180,Default,0.0
LOAN002994,CUST03562,912990,Vehicle Loan,10.96,180,Paid Off,0.0
LOAN009016,CUST01025,467653,business loan,12.45,180,Paid Off,0.0
LOAN001078,CUST01140,98878,Personal Loan,11.34,180,PAID,0.0
LOAN009710,CUST00552,3840309,Housing Loan, ,60,PAID,0.01
LOAN001283,CUST03562, ,CAR LOAN,11.48,84,CHARGED OFF,0.0
LOAN006870,CUST01500,712052,Edu Loan,9.24,180,Fully Paid,0.0
LOAN000724,CUST04599,496881,PERSONAL LOAN,12.16,60,Closed,0.0
LOAN010687,CUST04827,360581,education loan,10.77,84,Ongoing,0.0
LOAN002206,CUST00709,3513865,home loan,7.97,60,PAID,0.01
LOAN010768,CUST05198,"₹1,305,272",Home Loan,#N/A,24,Defaulted,0.99
LOAN007199,CUST02508,382949,Vehicle Loan,12.54,240,,0.29
LOAN004302,CUST05823,55796,Personal,14.75,24,Fully Paid,0.0
LOAN001587,CUST05069,904606,car loan,9.09,24,Paid,0.0
LOAN009060,CUST00552,"₹175,138",PL,13.13,36,Active,0.0
LOAN008615,CUST02173,1989966,Home Loan,8.66,Unknown,Closed,N/A
LOAN011026,CUST04827,1530598,Home Loan,9.26,48,Current,0.0
LOAN008971,CUST03824,207730,Personal Loan,13.57,240,Bad Debt,0.0
LOAN011159,CUST02734,1415239,Vehicle Loan,9.16,48,Active,0.99
LOAN005892,CUST05069,615941,car loan,8.16,240,ONGOING,0.0
LOAN010773,CUST05735,4136322,Housing Loan,8.71,24,Fully Paid,0.02
LOAN004407,CUST00587,280250,personal loan,14.3,48,ongoing,0.0
LOAN006132,CUST01386,66307,personal loan,13.46,180,Open,0.02
LOAN003145,CUST03825,496907,Auto Loan,9.85,12,ongoing,0.99
LOAN004326,CUST03562,377331,EDUCATION LOAN,10.72,120,Open,0.0
LOAN010217,CUST05823,209145,PL,14.56,240,Paid,0.0
LOAN011776,CUST00247,2208745,Mortgage,8.67,84,ACTIVE,0.0
LOAN010653,CUST05823,379455,PERSONAL LOAN,13.67,120,Closed,0.0
LOAN001731,CUST03755,467638,Car Loan,10.72,180,Current,0.54
LOAN004812,CUST03562,127479,PERSONAL LOAN,14.19,36,Closed, 
LOAN009765,,3970027,home loan,N/A,48,Fully Paid,0.01
LOAN001515,CUST04599,1199491,Unknown,11.42,180,PAID,nan
LOAN007907,CUST00709,2736973,Business Loan,12.83,240,Defaulted,0.0
LOAN000084,CUST03839,"127,059",PERSONAL LOAN,13.05,60,PAID,0.0
LOAN006387,CUST04599,205843,PERSONAL LOAN,0,84,PAID,NULL
LOAN002539,CUST04366,3115580,Home Loan,,24,Current,0.99
LOAN003577,CUST00247,956939,home loan,9.73,240,Paid Off,N/A
LOAN008677,CUST05823,1076537,car loan,12.31,12,active,#N/A
LOAN007541,CUST02173,"4,908,394",home loan,8.88,24,Active,0.02
LOAN010941,CUST03189,3562444,Mortgage,0,240,active,0.0
LOAN009399,CUST03189,2496278,business loan,12.4,48,ACTIVE,Unknown
LOAN010899,CUST01140,2697287,Biz Loan,10.69,24,Open,0.01
LOAN005663,CUST03902,216723,PL,12.96,60,Bad Debt,0.15
LOAN001155,CUST03222,295996,Education Loan,11.06,36,ongoing,0.0
LOAN009184,CUST05347,397394,EDUCATION LOAN,10.46,60,Ongoing,0.0
LOAN011875,CUST03189,1423042,HOME LOAN,8.79,120,Active,0.0
LOAN011401,CUST00709,989147,car loan,9.84,12,ONGOING,#N/A
LOAN007963,CUST01025,426018,Personal Loan,13.31,12,Ongoing,0.0
LOAN006942,CUST03280,679982,Vehicle Loan,10.57,240,Ongoing,0.0
LOAN007648,CUST03222,235633,PERSONAL LOAN,13.06,84,Closed,0.0
LOAN006868,CUST04628,241273,Personal,13.89,12,Closed,0.0
LOAN011371,CUST03189,843976,Car Loan,9.95,60,ongoing,0.0
LOAN009964,CUST01025,1924925,Home Loan,8.87,60,Closed,0.0
LOAN005616,CUST03562,494676,personal loan,15.05,-12,PAID,0.0
LOAN006659,CUST01025,2804487,HOME LOAN,8.04,180,ongoing,0.0
LOAN005730,CUST04628,2549925,Mortgage,8.81,60,nan,0.01
LOAN002423,CUST01025,3836638,Mortgage,8.09,180,Fully Paid,0.0
LOAN008378,CUST03824,903995,Business Loan,13.83,12,Active,N/A
LOAN011581,CUST03571,724329,Housing Loan,9.4,24,ongoing,0.0
LOAN000768,CUST02950,3511440,HOME LOAN,8.88,120,active,0.0
LOAN002699,CUST03280,NULL,personal loan,-5,120,Fully Paid,0.0
LOAN003553,CUST02138,911601,CAR LOAN,10.71,12,Charged Off,0.99
LOAN001867,CUST04270,100453,Personal Loan,13.5,24,Ongoing,0.0
LOAN011310,CUST03189,"₹125,919",personal loan,N/A,,N/A,0.0
LOAN010450,CUST02643,839102,Biz Loan,11.61,84,ACTIVE,0.0
LOAN007041,CUST01025,362365,Car Loan,10.33,60,Ongoing,0.0
LOAN003708,CUST05328,71984,Personal,NULL,24,ongoing,0.0
LOAN006944,CUST03839,4858973,HOME LOAN,8.61,24,active,0.02
LOAN010693,CUST02173,4287334,Home Loan,8.53,48,PAID,0.01
LOAN008381,CUST04827,418506,Personal Loan, ,12,Open,0.0
LOAN008282,CUST04084,100489,Personal,14.11,120,PAID,0.0
LOAN001556,CUST03839,731950,education loan,8.78,120,,0.0
LOAN003566,CUST03562,273039,education loan,N/A,120,Closed,0.0
LOAN010128,CUST01355,62509,PL,12.23,180,Ongoing,0.1
LOAN003294,CUST04270,187778,personal loan,13.31,48,paid,0.0
LOAN002998,CUST05328,2209547,Business Loan,13.08,180,Paid,0.0
LOAN010551,CUST05347,559780,home loan,10.19,0,Ongoing,0.0
LOAN009629,CUST01324,174485,Personal Loan,14.65,60,active,0.32
LOAN008078,CUST05069,414955,Personal Loan,12.71,12,Current,0.0
LOAN010416,CUST03571,498606,PL,14.3,12,CHARGED OFF,0.0
LOAN002399,CUST04270,168254,EDUCATION LOAN,N/A,120,PAID,Unknown
LOAN002051,CUST05069,267925,Vehicle Loan,N/A,240,Open,NULL
LOAN005861,CUST05707,326032,CAR LOAN,10.38,24,active,0.0
LOAN006879,CUST02173,490639,SME Loan,12.65,24,paid,0.0
LOAN002143,,2877771,BUSINESS LOAN,13.67,84,Ongoing,0.0
LOAN005088,CUST02173,4847684,Housing Loan,9.0,60,Ongoing,0.01
LOAN011532,CUST00552,#N/A,CAR LOAN,9.99,60,Fully Paid,0.0
LOAN011850,CUST00090,4473929,Mortgage,9.85,12,Ongoing,0.04
LOAN004723,CUST04270,606853,CAR LOAN,10.33,240,Ongoing,0.0
LOAN002730,CUST05069,1215459,Vehicle Loan,9.59,24,DEFAULT,N/A
LOAN008862,CUST00015,2790523,business loan,20.42,84,default,nan
LOAN006279,CUST02643,"4,115,456",Mortgage,9.08,36,ACTIVE,0.01
LOAN008473,CUST00015,139917,Personal Loan,21.52,#N/A,Closed,0.0
LOAN007889,CUST03562,-1000,Student Loan,10.8,12,ACTIVE, 
LOAN004533,CUST05347,424320,Personal Loan,14.87,12,Active,0.0
LOAN002807,CUST00761,2408409,Housing Loan,9.17,84,paid,0.99
LOAN010013,CUST04628,-1000,Mortgage,8.14,120,Ongoing,0.0
LOAN010680,CUST03599,742678,Mortgage,7.96,180,CHARGED OFF,0.62
LOAN000333,CUST01500,3323386,Home Loan,7.01,120,Active,99
LOAN003201,CUST00552,"932,148",Biz Loan,11.63,60,PAID,0.0
LOAN004359,CUST03677,447019,Student Loan,9.19,NULL,Open,0.0
LOAN007934,CUST04598,402466,Education Loan,12.38,240,Paid,0.14
LOAN000208,CUST04599,465041,personal loan,12.14,24,PAID,0.0
LOAN007742,CUST02643,496038,PERSONAL LOAN,0,N/A,Active,0.0
LOAN002587,CUST00090,887036,CAR LOAN,10.78,84,N/A,0.0
LOAN011972,CUST03677,721809,Auto Loan,8.98,24,CLOSED,
LOAN003256,CUST03280,293470,Personal,14.12,84,Ongoing,0.0
LOAN008923,CUST05436,2506646,Housing Loan,7.99,180,Open,0.0
LOAN005515,CUST00090,2334478,home loan,8.47,84,ongoing,0.0
LOAN007989,CUST01500,1388555,Business Loan,11.0,12,Fully Paid,0.01
LOAN008102,CUST05069,291817,Personal,11.17,24,Closed,0.0
LOAN006731,CUST04628,341948,PL,13.56,36,active,0.0
LOAN005086,CUST03824,4992320,Mortgage,9.53,36,Current,0.02
LOAN011381,CUST05436,339100,Edu Loan,Unknown,120,Open,0.0
LOAN009790,CUST01901,747761,NULL,10.11,60,active,0.0
LOAN002887,CUST05707,252590,Personal Loan,14.12,60,Open,0.0
LOAN009814,CUST03824,3614940,home loan,9.29,60,Fully Paid,0.01
LOAN010323,CUST00015,2765406,business loan,20.99,180,DEFAULT,0.0
LOAN007403,CUST00247,2468445,SME Loan,11.47,36,CLOSED,0.01
LOAN011124,CUST02933,4956207,HOME LOAN,9.21,60,Fully Paid,0.01
LOAN007109,CUST02643,4090333,home loan,9.07,180,Active,0.0
LOAN001255,CUST03280,461804,Personal,14.1,120,Open,0.0
LOAN011936,CUST02173,265373,PERSONAL LOAN,13.02,120,ACTIVE,0.0
LOAN008312,CUST00587,597658,#N/A,10.92,24,ONGOING,0.0
LOAN011927,CUST00843,"-1,000",Vehicle Loan,10.2,84,active,0.0
LOAN004757,CUST03189,2256384,Business Loan,10.82,180,Ongoing,0.0
LOAN004076,CUST04084,197466,personal loan,15.24,24,DEFAULT,2.5
LOAN004965,CUST05069,164629,PL,12.79,24,Closed,0.0
LOAN004245,CUST00587,"448,770",PL,13.94,24,Fully Paid,0.0
LOAN001611,CUST03280,3343950,home loan,9.02,180,Bad Debt,0.0
LOAN008950,CUST00247,2200249,business loan,13.27,12,ONGOING,0.02
LOAN004806,CUST03571,132336,Personal,14.14,180,Open,0.0
LOAN005914,CUST03562,3402310,HOME LOAN,9.5,24,Paid Off,0.02
LOAN011705,CUST00843,1324365,Car Loan,9.09,24,ONGOING,0.01
LOAN002038,CUST01025,1803498,Housing Loan,7.88,60,Fully Paid,0.0
LOAN007215,CUST00745,451478,,12.6,120,paid,0.23
LOAN000484,CUST03280,537429,Edu Loan,11.3,600,Open,0.0
LOAN002434,CUST01140,472773,PL,12.73,#N/A,ongoing,0.0
LOAN010057,Unknown,"760,457",business loan,nan,12,PAID,0.01
LOAN006650,CUST04270,1417158,car loan,11.19,120,CLOSED,0.0
LOAN003657,CUST04827,NULL,personal loan,12.86,240,Fully Paid,0.0
LOAN008670,CUST02173,209960,Car Loan,9.71,180,Paid,0.0
LOAN011514,CUST05823,413356,Auto Loan,12.31,120,ongoing,0.0
LOAN003779,CUST02950,683104,education loan,10.13,24,PAID,NULL
LOAN003366,CUST05069,"572,957",car loan,8.67,60,ACTIVE,0.0
LOAN005404,CUST02173,2683237,BUSINESS LOAN,12.18,240,Paid Off,0.0
LOAN008809,CUST03571,391980,business loan,13.32,12,#N/A,0.0
LOAN001984,CUST05823,2458472,Home Loan,9.96,36,ongoing,0.01
LOAN004477,CUST01281,1903455,Business Loan,12.5,60,ONGOING,0.0
LOAN007896,CUST03571,680448,HOME LOAN,8.54,120,ongoing,0.0
LOAN011548,CUST03571,221106,Car Loan,10.88,36,Open,0.0
LOAN005822,CUST05735,290141,Biz Loan, ,180,Ongoing,0.0
LOAN006395,CUST04084,,Home Loan,9.36,120,paid,0.0
LOAN005380,CUST00587,2834411,Biz Loan,13.13,60,active,0.01
LOAN011808,CUST02173,1559397, ,8.12,84,Active,0.0
LOAN001829,CUST05181,470249,Personal,12.66,60,CHARGED OFF,0.99
LOAN009401,CUST05328,311594,PL,14.69,240,active,0.0
LOAN005577,CUST01281,71424,Personal,13.3,84,ongoing,0.0
LOAN002131,CUST03677,2774512,home loan,7.01,24,Paid,0.01
LOAN003245,CUST00247, ,personal loan,13.26,24,Current,0.0
LOAN005653,CUST05328,808547,CAR LOAN,10.72,48,Current,0.0
LOAN006645,CUST00015,#N/A,nan,16.98,48,Paid Off,0.01
LOAN007766,CUST02950,254940,Car Loan,9.95,240,ongoing,0.0
LOAN005767,CUST03280,1794540,Mortgage,10.36,120,ONGOING,0.0
LOAN007765,CUST02643,0,Vehicle Loan,10.75,240,ONGOING,0.0
LOAN009749,CUST00247,1039218,Auto Loan,9.56,120,Active,0.0
LOAN003528,CUST01281,356537,personal loan,14.6,60,N/A,0.0
LOAN008035,CUST04827,310895,Personal Loan,13.5,48,active,NULL
LOAN005065,CUST04599,2324422,home loan,#N/A,24,CLOSED,0.01
LOAN008702,CUST00349,"₹179,017",personal loan,11.22,36,Ongoing,0.49
LOAN009408,CUST03839,408100,Personal,13.11,12,PAID,0.0
LOAN011293,CUST03839,285733,Personal Loan,12.31,48,ONGOING,0.0
LOAN002993,CUST04628,3313521,Mortgage,8.31,24,Open,0.02
LOAN001617,CUST05347,4108711,Home Loan,9.14,#N/A,Active,0.0
LOAN011674,CUST03189,73404,Personal Loan,12.94,180,ONGOING,0.0
LOAN004056,CUST03562,1328425,car loan,12.33,180,ACTIVE, 
LOAN009728,CUST04827,368708,,10.13,180,ONGOING,0.0
LOAN006096,CUST03280,1532669,HOME LOAN,10.31,180,active,0.0
LOAN007089,CUST01901,,business loan,11.1,24,CLOSED,0.01
LOAN006640,CUST02933,379918,PL,12.19,180,PAID, 
LOAN010430,CUST02950,982875,car loan,9.67,12,PAID,0.01
LOAN003558,CUST00090,770371,EDUCATION LOAN,10.06,24,ongoing,0.0
LOAN008829,CUST00843,"482,296",PL,12.41,60,Paid Off,0.0
LOAN003739,CUST04084,63163,Personal Loan,13.81,12,Fully Paid,0.0
LOAN008492,CUST04196,1119303,Auto Loan,10.79,60,DEFAULT,0.99
LOAN004410,CUST05069,799451,Vehicle Loan,9.32,24,,0.0
LOAN007369,CUST02643,112426,PL,12.66,60,Closed,0.0
LOAN009214,CUST03839,134416,Personal,13.75,180,Active,0.0
LOAN006734,CUST02110,"327,337",Personal Loan,12.69,24,Active,0.99
LOAN008244,CUST00090,233096,Personal,14.56,120,ACTIVE,0.0
LOAN007016,CUST04599,557361,HOME LOAN,8.46,24,Open,0.0
LOAN011385,CUST03677,59772,personal loan,12.04,240,ongoing,0.0
LOAN009309,CUST01025,415171,personal loan,12.79,12,ACTIVE,0.0
LOAN004992,CUST01901,383204,PL,11.56,24,Paid,0.0
LOAN004653,CUST00090,618632,Car Loan,nan,240,CLOSED,0.0
LOAN001813,CUST00552,226985,Car Loan,10.58,240,active,0.0
LOAN002860,CUST01140,1743287,BUSINESS LOAN,11.87,24,Paid Off,0.01
LOAN006440,CUST04599,2005620,Housing Loan,7.91,180,Active,0.0
LOAN002610,CUST05436,2871198,HOME LOAN,8.54,36,active,0.01
LOAN007983,CUST04845,264410,Personal Loan,12.93,84,CLOSED,0.33
LOAN003703,CUST03824,1204853,Auto Loan,10.81,84,Fully Paid,0.0
LOAN004842,CUST04827,189418,N/A,13.67,24,Ongoing,0.0
LOAN001123,CUST03559,nan,PERSONAL LOAN,13.94,84,Open,0.12
LOAN011442,CUST00709,4362555,home loan,8.32,36,paid,0.01
LOAN009188,CUST01025,4010780,HOME LOAN,8.61,24,PAID,0.02
LOAN003626,CUST01500,2078028,home loan,7.68,24,ACTIVE,0.01
LOAN007178,CUST00552,767968,education loan,9.3,120,Fully Paid,0.0
LOAN008605,CUST03189,2218148,BUSINESS LOAN,12.05,36,Paid Off,0.01
LOAN004094,CUST00709,1341743,BUSINESS LOAN,12.63,24,Paid,0.01
LOAN009668,CUST02950,273617,personal loan,-5,120,Paid Off,0.0
LOAN006939,CUST04599,52184,Personal,12.96,240,Open,0.0
LOAN008116,CUST03571,1898304,Home Loan,9.8,24,Ongoing,#N/A
LOAN005996,CUST04842,"2,724,980",Home Loan,7.78,240,Ongoing,0.99
LOAN010372,CUST03839,2192316,Mortgage,9.47,240,Ongoing,0.0
LOAN008232,CUST02933,3849975,HOME LOAN,8.72,12,Paid Off,0.04
LOAN009275,CUST05735,1956672,Home Loan,7.99,36,Open,0.01
LOAN008358,CUST05823,1401615,Vehicle Loan,12.12,240,ACTIVE,0.0
LOAN002937,CUST02950,260008,CAR LOAN, ,24,PAID,0.0
LOAN004570,CUST00090,710262,Edu Loan,11.15,36,Closed,0.0
LOAN002142,CUST01281,1111112,SME Loan,13.51,60,ACTIVE,0.0
LOAN004887,CUST04976,171664,Personal,12.73,48,ONGOING,0.16
LOAN009779,CUST03189,316973,personal loan,13.41,120,Current,0.0
LOAN009244,CUST00587,303556,Student Loan,10.58,36,Fully Paid,0.0
LOAN011691,CUST01281,242305,Personal Loan,13.43,48,Paid Off,0.0
LOAN008052,CUST05436,2821767,business loan,10.7,180,Defaulted,0.0
LOAN005588,CUST01901,0,Student Loan,8.89,60,Paid,0.0
LOAN008777,CUST04599,271748,PERSONAL LOAN,11.81,60,ONGOING,0.0
LOAN001974,CUST05735,1437616,Mortgage,7.91,12,ACTIVE,0.01
LOAN011860,CUST01281,413487,PL,13.34,120,Fully Paid,0.0
LOAN002658,CUST01140,"₹496,321",personal loan,11.85,120,Current,0.0
LOAN000128,CUST04628,Unknown,Housing Loan,9.96,24,NULL,0.01
LOAN003011,CUST00247,0,Vehicle Loan,10.5,60,Current,0.0
LOAN005419,CUST05069,357866,Auto Loan,8.46,240,Closed,0.0
LOAN001688,CUST01500,1336687,Vehicle Loan,9.57,48,active,0.0
LOAN009152,CUST02643,#N/A,Personal Loan,12.58, ,ongoing,0.0
LOAN005175,CUST01025,308247,Personal Loan,14.2,12,Active,Unknown
LOAN002944,CUST00587,312202,PL,14.37,36,paid,0.0
LOAN004194,CUST03222, ,HOME LOAN,9.03,36,active,0.01
LOAN004779,CUST01506,63424,Personal Loan,13.55,60,Open,0.06
LOAN000914,CUST00090,930761,BUSINESS LOAN,13.61,Unknown,ongoing,0.0
LOAN008047,CUST04827,903345,Business Loan,,48,Paid,0.0
LOAN009797,CUST00843,1429267,Mortgage,8.73,NULL,ONGOING,0.0
LOAN006616,CUST05609,2619231,Mortgage,8.01,180,ONGOING,0.99
LOAN004899,CUST03562,1060954,business loan,13.96,36,PAID,0.0
LOAN009829,CUST01140,264618,personal loan,12.35,120,Current,0.0
LOAN009891,CUST03677,1093664,CAR LOAN,8.72,12,Active,0.01
LOAN000348,CUST00561,511712,nan,10.21,84,default,nan
LOAN001274,CUST01281,1436476,Car Loan,9.81,120,PAID,0.0
LOAN003299,CUST02933,886053,Car Loan,9.42,24,Open,0.0
LOAN000347,CUST04599,376175,Unknown,12.68,84,Closed,0.0
LOAN005177,CUST00090,705369,EDUCATION LOAN,9.86,60,Paid,0.0
LOAN005180,CUST03824,175449,education loan,11.62,84,Fully Paid,0.0
LOAN009512,CUST01140,N/A,SME Loan,N/A,180,Current,0.0
LOAN003234,CUST02952,3906640,HOME LOAN,7.84,36,active,0.99
LOAN006744,CUST02173,2764860,Home Loan,8.44,120,ACTIVE,0.0
LOAN001965,CUST01025,296724,PL,14.22,120,Fully Paid,0.0
LOAN008315,CUST04084,163907,,14.69,84,Closed,0.0
LOAN006740,CUST03562,472696,Personal Loan,14.51,12,Active,0.0
LOAN001275,CUST00709,417343,Education Loan,10.67,12,CLOSED,0.0
LOAN008328,CUST00090,-1000,car loan,11.5,120,CHARGED OFF,0.0
LOAN006048,CUST01281,2383714,Housing Loan,10.15,#N/A,ACTIVE,0.0
LOAN009238,CUST03839,135571,Student Loan,8.79,24,Active,0.0
LOAN001291,CUST05347,302569,Education Loan,11.27,nan,Open,0.0
LOAN005217,CUST01901,1119247,CAR LOAN,10.03,,Active,0.01
LOAN005364,CUST04270,176298,personal loan,14.0,180,PAID,0.0
LOAN007153,CUST00843,323027,Personal,12.57,180,Current,0.0
LOAN008301,CUST01500,4334059,Home Loan,7.85,240,Fully Paid,0.0
LOAN000835,CUST05735,2146208,Housing Loan,9.12,180,Ongoing,0.0
LOAN008099,CUST05328,411058,PERSONAL LOAN,14.33,120,paid,0.0
LOAN004392,CUST04628,4204386,HOME LOAN,8.96,180,Fully Paid,0.0
LOAN003726,CUST00302,105953,PERSONAL LOAN,13.03,48,Open,0.32
LOAN005028,CUST03571,352432,Personal Loan,13.28,240,ONGOING,0.0
LOAN004789,CUST01281,428361,business loan,12.61,36,DEFAULT,0.0
LOAN004697,CUST01140,999999999,Vehicle Loan,8.31,12,Active,
LOAN006715,CUST03562,2396340,Home Loan,10.73,120,Open,0.0
LOAN003323,CUST05448,3417420,Mortgage,9.31,60,default,0.99
LOAN003406,CUST04084,1926437,Mortgage,9.14,240,Active,0.0
LOAN011354,CUST00587,1065065,SME Loan,13.63,240,Open,0.0
LOAN008544,CUST03824,946641,Vehicle Loan,11.53,24,Open,0.0
LOAN011841,CUST05069,"₹-1,000",HOME LOAN,7.65,Unknown,PAID,0.0
LOAN004734,CUST01281,1508557,Housing Loan,N/A,180,ongoing,0.0
LOAN005114,CUST03562,197395,PL,14.09,48,ONGOING,0.0
LOAN004613,CUST01140,1985543,Home Loan,7.5,48,ACTIVE,0.0
LOAN002236,CUST05707,481658,Personal,13.76,240,default,0.0
LOAN001005,CUST01500,2790917,Housing Loan,6.7,36,Active,0.01
LOAN005247,CUST05069,192004,PERSONAL LOAN,11.27,12,ongoing,0.0
LOAN002518,CUST05347,2471165,business loan,,12,Current,0.02
LOAN011107,CUST02643,536362,Biz Loan,11.75,60,Active,0.0
LOAN001292,CUST00090,1137701,Car Loan,10.44,12,Active,0.01
LOAN009196,CUST03280,472426,PL,14.58,48,ACTIVE,0.0
