Transaction_ID,Loan_ID,Payment_Date,Payment_Amount,Payment_Status
TXN00062085,LOAN001198,,1901.86,paid
TXN00062083,LOAN000760,,1801.85,no_transaction
TXN00062086,LOAN009272,,1729.25,paid
TXN00062084,LOAN008787,,0,paid
TXN00042772,LOAN006228,,0,paid
TXN00042770,LOAN007024,,3195.15,paid
TXN00042774,LOAN009398,,3033.04,paid
TXN00042775,LOAN004358,,0,paid
TXN00042771,LOAN003628,,0,paid
TXN00042773,LOAN002623,,0,paid
TXN00054107,LOAN002511,,0,late
TXN00054106,LOAN009957,,0,missed
TXN00054105,LOAN003433,,9017.45,late
TXN00054103,LOAN010470,,8622.35,paid
TXN00054104,LOAN003796,,8757.04,paid
TXN00055505,LOAN008745,,0,paid
TXN00055508,LOAN009508,,17501.2,paid
TXN00055507,LOAN010966,,16975.01,paid
TXN00055506,LOAN000302,,0,paid
TXN00055504,LOAN002994,,16537.5,paid
TXN00016099,LOAN009016,,15050.05,paid
TXN00016098,LOAN001078,,15844.44,late
TXN00016097,LOAN009710,,15288.98,paid
TXN00016096,LOAN001283,,15517.11,paid
TXN00015524,LOAN006870,,0,late
TXN00015522,LOAN000724,,46013.575,late
TXN00015523,LOAN010687,,46013.575,paid
TXN00015521,LOAN002206,,46013.575,paid
TXN00040840,LOAN010768,,46013.575,paid
TXN00040841,LOAN007199,,46013.575,paid
TXN00040839,LOAN004302,,46013.575,paid
TXN00040838,LOAN001587,,46013.575,paid
TXN00054714,LOAN009060,,8231.6,late
TXN00054712,LOAN008615,,0,paid
TXN00054713,LOAN011026,,0,paid
TXN00054711,LOAN008971,,9041.71,paid
TXN00046593,LOAN011159,,2237.06,paid
TXN00046592,LOAN005892,,0,missed
TXN00046591,LOAN010773,,2237.58,paid
TXN00046594,LOAN004407,,2049.57,late
TXN00043800,LOAN006132,,46013.575,paid
TXN00043799,LOAN003145,,46013.575,late
TXN00043798,LOAN004326,,46013.575,paid
TXN00043797,LOAN010217,,0,missed
TXN00057159,LOAN011776,,26287.89,late
TXN00057156,LOAN010653,,27967.88,paid
TXN00057155,LOAN001731,,28793.98,paid
TXN00057157,LOAN004812,,27262.87,paid
TXN00057158,LOAN009765,,25941.72,paid
TXN00022775,LOAN001515,,0,paid
TXN00022773,LOAN007907,,0,paid
TXN00022776,LOAN000084,,12090.47,
TXN00027209,LOAN006387,,9118.81,paid
TXN00027203,LOAN002539,,0,paid
TXN00027208,LOAN003577,,9959.68,paid
TXN00027204,LOAN008677,,9817.55,late
TXN00027206,LOAN007541,,0,no_transaction
TXN00027207,LOAN010941,22-05-2020,0,
TXN00027205,LOAN009399,,10376.73,paid
TXN00054137,LOAN010899,,1750.4,paid
TXN00054138,LOAN005663,,1715.44,paid
TXN00054136,LOAN001155,11-02-2021,1767.06,paid
TXN00013617,LOAN009184,,1689.44,paid
TXN00013619,LOAN011875,,1668.9,paid
TXN00013621,LOAN011401,,1717.6,paid
TXN00013618,LOAN007963,,1900.42,paid
TXN00013620,LOAN006942,,1774.28,paid
TXN00013616,LOAN007648,,1943.89,paid
TXN00041328,LOAN006868,,1683.15,paid
TXN00041326,LOAN011371,,0,missed
TXN00041327,LOAN009964,,1676.19,paid
TXN00041331,LOAN005616,16-08-2020,1500.32,late
TXN00041329,LOAN006659,,1562.76,late
TXN00041332,LOAN005730,,0,missed
TXN00041333,LOAN002423,,1619.12,late
TXN00041330,LOAN008378,,1519.57,paid
TXN00053132,LOAN011581,,8489.55,no_transaction
TXN00053129,LOAN000768,,7548.01,paid
TXN00053131,LOAN002699,,8203.4,no_transaction
TXN00053130,LOAN003553,,7722.77,late
TXN00051035,LOAN001867,,46013.575,paid
TXN00051033,LOAN011310,,46013.575,late
TXN00051032,LOAN010450,,46013.575,paid
TXN00051034,LOAN007041,,46013.575,paid
TXN00051036,LOAN003708,,46013.575,paid
TXN00051031,LOAN006944,24-08-2020,46013.575,paid
TXN00019385,LOAN010693,,11955.26,late
TXN00019384,LOAN008381,,0,missed
TXN00019383,LOAN008282,,11512.44,
TXN00019387,LOAN001556,09-05-2023,11581.6,paid
TXN00018390,LOAN003566,,36528.25,paid
TXN00018388,LOAN010128,,39443.6,paid
TXN00018387,LOAN003294,,37810.08,paid
TXN00018389,LOAN002998,,38529.48,paid
TXN00057064,LOAN010551,,22494.38,paid
TXN00057068,LOAN009629,,22300.4,paid
TXN00057069,LOAN008078,,21961.32,paid
TXN00057066,LOAN010416,04-09-2022,0,missed
TXN00057067,LOAN002399,,20781.08,paid
TXN00057065,LOAN002051,,21304.53,paid
TXN00023813,LOAN005861,,46013.575,paid
TXN00023815,LOAN006879,,46013.575,paid
TXN00023814,LOAN002143,,46013.575,paid
TXN00023817,LOAN005088,,46013.575,late
TXN00023816,LOAN011532,,46013.575,paid
TXN00020219,LOAN011850,,46013.575,paid
TXN00020217,LOAN004723,,46013.575,paid
TXN00020216,LOAN002730,,46013.575,late
TXN00020218,LOAN008862,,46013.575,paid
TXN00020220,LOAN006279,,0,paid
TXN00024266,LOAN008473,,0,missed
TXN00024263,LOAN007889,,7789.11,paid
TXN00024264,LOAN004533,,7039.79,paid
TXN00024260,LOAN002807,,0,missed
TXN00024261,LOAN010013,,7975.29,paid
TXN00024262,LOAN010680,,7300.65,paid
TXN00006098,LOAN000333,,5205.69,late
TXN00006095,LOAN003201,,5643.62,paid
TXN00006096,LOAN004359,,5340.1,late
TXN00006097,LOAN007934,,5558.9,paid
TXN00046443,LOAN000208,,0,late
TXN00046444,LOAN007742,,0,missed
TXN00046445,LOAN002587,,0,paid
TXN00046446,LOAN011972,,0,no_transaction
TXN00036082,LOAN003256,,3847.7,paid
TXN00036083,LOAN008923,,3437.14,paid
TXN00036084,LOAN005515,,3542.31,paid
TXN00036085,LOAN007989,,3787.06,paid
TXN00036080,LOAN008102,,4068.85,paid
TXN00036079,LOAN006731,24-01-2021,3761.89,paid
TXN00036081,LOAN005086,,3867.09,paid
TXN00037115,LOAN011381,,0,paid
TXN00037116,LOAN009790,,27537.55,late
TXN00037117,LOAN002887,,25126.74,no_transaction
TXN00037114,LOAN009814,,26609.22,paid
TXN00038659,LOAN010323,,6936.31,paid
TXN00038658,LOAN007403,,6785.28,paid
TXN00038656,LOAN011124,,7491.21,late
TXN00038657,LOAN007109,,7835.68,paid
TXN00038655,LOAN001255,,7785.85,paid
TXN00053071,LOAN011936,25-06-2020,0,missed
TXN00053073,LOAN008312,,3113.82,paid
TXN00053074,LOAN011927,,2809.96,
TXN00053077,LOAN004757,,0,missed
TXN00053070,LOAN004076,,3113.56,paid
TXN00053072,LOAN004965,,2920.06,paid
TXN00053076,LOAN004245,,2878,late
TXN00039580,LOAN001611,,46013.575,no_transaction
TXN00039579,LOAN008950,,0,paid
TXN00039578,LOAN004806,,46013.575,paid
TXN00039577,LOAN005914,16-08-2024,46013.575,paid
TXN00009448,LOAN011705,,0,no_transaction
TXN00009446,LOAN002038,26-03-2022,3800.43,paid
TXN00009449,LOAN007215,,0,missed
TXN00009447,LOAN000484,,0,missed
TXN00009445,LOAN002434,,3316.49,paid
TXN00063602,LOAN010057,,0,no_transaction
TXN00063597,LOAN006650,,2633.8,paid
TXN00063599,LOAN003657,,2697.37,paid
TXN00063596,LOAN008670,,2610.21,late
TXN00063600,LOAN011514,23-11-2022,2827.41,paid
TXN00063601,LOAN003779,,2599.15,late
TXN00063598,LOAN003366,,0,late
TXN00063604,LOAN005404,,2825.99,unknown
TXN00063603,LOAN008809,,0,no_transaction
TXN00003527,LOAN001984,11-05-2024,20765.61,paid
TXN00003526,LOAN004477,,22080.45,late
TXN00003529,LOAN007896,,20011.37,paid
TXN00003530,LOAN011548,19-04-2021,21077.42,paid
TXN00026698,LOAN005822,,3861.2,paid
TXN00026695,LOAN006395,,3870.57,paid
TXN00026696,LOAN005380,,3715.79,late
TXN00026699,LOAN011808,,3884.52,paid
TXN00026701,LOAN001829,,0,paid
TXN00026700,LOAN009401,,0,paid
TXN00026697,LOAN005577,,3865.09,paid
TXN00026702,LOAN002131,,3999.01,paid
TXN00025381,LOAN003245,,46013.575,paid
TXN00025378,LOAN005653,25-08-2023,0,late
TXN00025377,LOAN006645,,46013.575,paid
TXN00025379,LOAN007766,,46013.575,paid
TXN00025380,LOAN005767,,0,paid
TXN00027533,LOAN007765,,2292.66,late
TXN00027528,LOAN009749,,2454.96,late
TXN00027532,LOAN003528,,2427.47,paid
TXN00027529,LOAN008035,,0,late
TXN00027527,LOAN005065,,2303.73,paid
TXN00027531,LOAN008702,,2239.81,late
TXN00027530,LOAN009408,,2153.83,late
TXN00041629,LOAN011293,,46013.575,paid
TXN00041631,LOAN002993,,0,missed
TXN00041630,LOAN001617,,46013.575,late
TXN00041628,LOAN011674,,46013.575,late
TXN00005468,LOAN004056,,25980,paid
TXN00005466,LOAN009728,,25727.24,paid
TXN00005462,LOAN006096,,26041.23,paid
TXN00005463,LOAN007089,,26862.42,paid
TXN00005465,LOAN006640,20-04-2020,0,missed
TXN00005467,LOAN010430,,24286.73,paid
TXN00005464,LOAN003558,18-10-2024,0,paid
TXN00020377,LOAN008829,,14858.68,paid
TXN00020378,LOAN003739,,0,missed
TXN00020376,LOAN008492,,15427.27,paid
TXN00020379,LOAN004410,,14380.67,paid
TXN00041206,LOAN007369,,12539.68,paid
TXN00041204,LOAN009214,,12713.13,paid
TXN00041203,LOAN006734,,13218.17,paid
TXN00041205,LOAN008244,,13220.1,paid
TXN00011231,LOAN007016,,0,paid
TXN00011229,LOAN011385,,36680.96,paid
TXN00011228,LOAN009309,,33205.04,paid
TXN00011230,LOAN004992,,46013.575,paid
TXN00003771,LOAN004653,,0,missed
TXN00003768,LOAN001813,,0,paid
TXN00003770,LOAN002860,,0,missed
TXN00003769,LOAN006440,17-02-2022,0,paid
TXN00003767,LOAN002610,,2981.15,paid
TXN00003766,LOAN007983,,0,missed
TXN00039700,LOAN003703,,28304.53,paid
TXN00039703,LOAN004842,,0,missed
TXN00039702,LOAN001123,,0,missed
TXN00039701,LOAN011442,,32610.11,paid
TXN00056729,LOAN009188,,7168.8,late
TXN00056725,LOAN003626,,7300.8,late
TXN00056723,LOAN007178,,7024.89,paid
TXN00056724,LOAN008605,,6699.08,paid
TXN00056726,LOAN004094,,7085.15,paid
TXN00056727,LOAN009668,,7131,paid
TXN00056728,LOAN006939,,0,paid
TXN00001666,LOAN008116,,27035.67,paid
TXN00001667,LOAN005996,,26409.71,paid
TXN00001665,LOAN010372,,0,missed
TXN00001668,LOAN008232,29-04-2021,0,paid
TXN00057557,LOAN009275,,30914.26,paid
TXN00057554,LOAN008358,28-08-2021,31701.44,paid
TXN00057559,LOAN002937,,31982.39,paid
TXN00057560,LOAN004570,,-500,paid
TXN00057555,LOAN002142,,27701.98,paid
TXN00057558,LOAN004887,,32338.11,paid
TXN00057561,LOAN009779,,0,missed
TXN00057556,LOAN009244,,29909.54,paid
TXN00032953,LOAN011691,,0,late
TXN00032954,LOAN008052,,804.85,paid
TXN00032952,LOAN005588,,801.1,paid
TXN00032955,LOAN008777,,0,missed
TXN00014908,LOAN001974,,15744.77,paid
TXN00014911,LOAN011860,,16810.06,late
TXN00014909,LOAN002658,,16024.57,late
TXN00014913,LOAN000128,27-11-2023,15583.92,paid
TXN00014914,LOAN003011,07-11-2023,15820.42,paid
TXN00014912,LOAN005419,,0,paid
TXN00014915,LOAN001688,,17326.9,late
TXN00014916,LOAN009152,,15967.13,paid
TXN00014910,LOAN005175,,15668.18,paid
TXN00006412,LOAN002944,,46013.575,paid
TXN00006411,LOAN004194,,46013.575,paid
TXN00006413,LOAN004779,23-03-2022,46013.575,paid
TXN00006414,LOAN000914,,0,paid
TXN00004063,LOAN008047,,-7.99,paid
TXN00004066,LOAN009797,,-8.01,paid
TXN00004065,LOAN006616,,-8.13,late
TXN00004062,LOAN004899,14-01-2021,-8.42,paid
TXN00004061,LOAN009829,,-8.73,paid
TXN00004060,LOAN009891,24-12-2023,-7.52,paid
TXN00004067,LOAN000348,25-08-2022,-8.61,late
TXN00004064,LOAN001274,,-7.79,paid
TXN00049901,LOAN003299,,1175.62,paid
TXN00049903,LOAN000347,,1148.69,paid
TXN00049904,LOAN005177,,1163.99,no_transaction
TXN00049906,LOAN005180,,1144.33,paid
TXN00049902,LOAN009512,,1192.83,paid
TXN00049905,LOAN003234,,0,paid
TXN00047276,LOAN006744,,19173.91,unknown
TXN00047278,LOAN001965,,0,paid
TXN00047280,LOAN008315,,19206.11,paid
TXN00047279,LOAN006740,,0,paid
TXN00047277,LOAN001275,,19850.26,paid
TXN00047275,LOAN008328,,19369.18,paid
TXN00033559,LOAN006048,,3495.67,paid
TXN00033554,LOAN009238,,0,paid
TXN00033556,LOAN001291,,0,missed
TXN00033555,LOAN005217,,3697.36,late
TXN00033558,LOAN005364,,0,missed
TXN00033560,LOAN007153,,0,missed
TXN00033557,LOAN008301,,3581.88,paid
TXN00037795,LOAN000835,,24510.1,paid
TXN00037796,LOAN008099,,21381.67,paid
TXN00037798,LOAN004392,24-10-2020,24735.5,paid
TXN00037797,LOAN003726,,22844.64,paid
TXN00050562,LOAN005028,,2332.47,paid
TXN00050563,LOAN004789,,0,paid
TXN00050559,LOAN004697,,2675.05,paid
TXN00050555,LOAN006715,,2624.56,paid
TXN00050556,LOAN003323,,0,paid
TXN00050557,LOAN003406,,2298.28,paid
TXN00050560,LOAN011354,,2570.6,no_transaction
TXN00050561,LOAN008544,,2605.88,paid
TXN00023445,LOAN011841,,46013.575,paid
TXN00023442,LOAN004734,,46013.575,paid
TXN00023444,LOAN005114,09-06-2023,0,paid
TXN00023443,LOAN004613,,46013.575,paid
TXN00019550,LOAN002236,,46013.575,paid
TXN00019547,LOAN001005,,0,paid
TXN00019549,LOAN005247,,46013.575,paid
TXN00019548,LOAN002518,,46013.575,paid
TXN00014139,LOAN011107,,46013.575,paid
TXN00014142,LOAN001292,,46013.575,paid
TXN00014140,LOAN009196,,46013.575,paid
TXN00014141,LOAN002921,,46013.575,paid
TXN00014143,LOAN000712,,46013.575,paid
TXN00013518,LOAN006362,,0,late
TXN00013515,LOAN006966,,46013.575,paid
TXN00013516,LOAN002451,,46013.575,unknown
TXN00013517,LOAN002129,01-04-2024,0,paid
TXN00053581,LOAN003701,23-02-2020,5656.53,paid
TXN00053582,LOAN007501,,4766.1,paid
TXN00053583,LOAN007875,,0,missed
TXN00053580,LOAN002024,,5558.18,paid
TXN00018467,LOAN010375,19-10-2021,4549.51,paid
TXN00018470,LOAN003471,,0,missed
TXN00018469,LOAN001741,,4436.96,paid
TXN00018471,LOAN006932,,0,paid
TXN00018472,LOAN005582,,4127.88,late
TXN00018473,LOAN000626,,3961.64,paid
TXN00018468,LOAN003089,,4460.67,paid
TXN00056351,LOAN003861,08-06-2022,938.18,paid
TXN00056356,LOAN004493,,827.94,paid
TXN00056352,LOAN000699,16-03-2022,0,paid
TXN00056354,LOAN002810,,0,missed
TXN00056358,LOAN002929,,911.57,paid
TXN00056355,LOAN011058,,0,late
TXN00056350,LOAN003895,,853.15,paid
TXN00056357,LOAN000117,,0,missed
TXN00056353,LOAN002205,,967.33,paid
TXN00020440,LOAN010950,,0,missed
TXN00020439,LOAN007683,,46013.575,paid
TXN00020441,LOAN011887,,0,missed
TXN00020438,LOAN004635,,0,missed
TXN00047061,LOAN002065,,1105.54,paid
TXN00047059,LOAN010062,,1227.13,paid
TXN00047060,LOAN003530,,1195.13,late
TXN00047062,LOAN008758,,1195.5,late
TXN00047063,LOAN002790,20-02-2024,1264.41,paid
TXN00047064,LOAN002827,,1130.74,late
TXN00047057,LOAN011829,,1159.74,paid
TXN00047058,LOAN009510,,1136.78,paid
TXN00051135,LOAN011985,,46013.575,paid
TXN00051136,LOAN008645,15-06-2021,46013.575,paid
TXN00051133,LOAN004615,,46013.575,paid
TXN00059021,LOAN001327,,0,late
TXN00059020,LOAN003069,,338.48,paid
TXN00059019,LOAN000260,,0,missed
TXN00059022,LOAN002714,,351.57,paid
TXN00059023,LOAN000321,,0,paid
TXN00001596,LOAN002574,,7755.99,late
TXN00001595,LOAN004974,,8217.47,paid
TXN00001597,LOAN005564,,0,paid
TXN00001598,LOAN008294,13-01-2020,0,paid
TXN00016126,LOAN003180,,0,missed
TXN00016127,LOAN002414,,0,late
TXN00016124,LOAN002922,,0,missed
TXN00016125,LOAN010568,,8064.49,paid
TXN00048517,LOAN006568,,14242.42,paid
TXN00048520,LOAN001891,,0,missed
TXN00048516,LOAN007404,,0,paid
TXN00048519,LOAN008917,,13401.37,paid
TXN00048518,LOAN004722,,14071.42,late
TXN00005771,LOAN008012,,7263.12,late
TXN00005765,LOAN004093,,7263.96,paid
TXN00005766,LOAN004588,,7338.67,paid
TXN00005770,LOAN000040,,7470.83,paid
TXN00005767,LOAN003113,,7672.22,late
TXN00005769,LOAN011454,,7770.53,late
TXN00005768,LOAN007569,,7337.4,paid
TXN00052247,LOAN010621,,0,missed
TXN00052248,LOAN009199,14-09-2021,0,missed
TXN00052245,LOAN006427,,8016.67,late
TXN00052244,LOAN008791,,8427.15,paid
TXN00006872,LOAN009574,,46013.575,paid
TXN00006873,LOAN001880,,46013.575,paid
TXN00006874,LOAN001526,30-06-2021,46013.575,late
TXN00006871,LOAN011232,,46013.575,paid
TXN00036981,LOAN005862,,0,late
TXN00036985,LOAN008166,,20288.46,paid
TXN00036984,LOAN006229,,19210.25,paid
TXN00036982,LOAN000870,,0,late
TXN00003864,LOAN008621,19-03-2021,1174.51,late
TXN00003863,LOAN000745,,1072.19,paid
TXN00003865,LOAN005075,,1054.1,paid
TXN00003866,LOAN011072,,1090.75,late
TXN00057496,LOAN008057,,5673.89,paid
TXN00057500,LOAN009339,,5227.04,late
TXN00057497,LOAN011297,,5556.51,paid
TXN00057499,LOAN011335,,5640.39,late
TXN00057498,LOAN001576,,5173.74,late
TXN00011841,LOAN004290,,11890.95,paid
TXN00011839,LOAN005330,,13159.19,paid
TXN00011840,LOAN004251,,13199.71,paid
TXN00011842,LOAN009678,,11471.49,paid
TXN00011843,LOAN006793,,12770.65,paid
TXN00057941,LOAN002761,,19494.09,unknown
TXN00057943,LOAN006783,,18244.72,paid
TXN00057945,LOAN007660,,18217.89,late
TXN00057942,LOAN007322,,18696.55,late
TXN00057944,LOAN006726,,18991.61,paid
TXN00057946,LOAN003732,,17635.23,paid
TXN00038749,LOAN009228,11-02-2023,18424.65,paid
TXN00038751,LOAN001706,,0,late
TXN00038750,LOAN007965,,0,missed
TXN00038748,LOAN000277,,18623.74,paid
TXN00023137,LOAN004739,,0,paid
TXN00023136,LOAN009579,,43551.47,paid
TXN00023134,LOAN000579,,40931.09,paid
TXN00023140,LOAN004159,,0,paid
TXN00023135,LOAN001041,,39545.83,paid
TXN00023139,LOAN005904,,43132.36,paid
TXN00023138,LOAN003905,,42324.85,paid
TXN00008516,LOAN005631,,0,paid
TXN00008514,LOAN001266,,0,paid
TXN00008517,LOAN003940,,0,missed
TXN00008515,LOAN001178,09-02-2021,0,paid
TXN00048746,LOAN005090,,1439.31,paid
TXN00048748,LOAN003460,,1676.94,paid
TXN00048750,LOAN011049,,1492.23,paid
TXN00048747,LOAN001446,,1548.02,no_transaction
TXN00048751,LOAN003630,,1593.62,paid
TXN00048749,LOAN007400,,1514.15,paid
TXN00048745,LOAN010167,,1447.73,paid
TXN00046376,LOAN002472,,38546.07,paid
TXN00046374,LOAN002481,,36672.58,paid
TXN00046375,LOAN004904,17-03-2021,41975.11,no_transaction
TXN00046373,LOAN008508,,41202.79,paid
TXN00059327,LOAN006461,,46013.575,paid
TXN00059326,LOAN011856,,46013.575,paid
TXN00059330,LOAN006570,,0,missed
TXN00059329,LOAN010134,,46013.575,paid
TXN00059328,LOAN003494,,46013.575,paid
TXN00048270,LOAN008756,27-11-2021,38854.43,paid
TXN00048272,LOAN003408,,36837.37,paid
TXN00048269,LOAN009773,18-02-2024,33987.65,paid
TXN00048271,LOAN003979,,39826.76,paid
TXN00060054,LOAN002432,27-08-2021,6570.08,paid
TXN00060051,LOAN001276,,6980.59,late
TXN00060055,LOAN007476,,7035.41,paid
TXN00060053,LOAN008155,,7278.05,paid
TXN00060050,LOAN001917,,0,late
TXN00060052,LOAN004916,,7219.93,late
TXN00031755,LOAN011846,19-01-2022,46013.575,paid
TXN00031756,LOAN004268,,46013.575,paid
TXN00031758,LOAN008036,,46013.575,late
TXN00031757,LOAN004183,,46013.575,paid
TXN00057974,LOAN009442,,10733.43,paid
TXN00057970,LOAN001359,,0,paid
TXN00057973,LOAN009074,,0,paid
TXN00057969,LOAN002181,,9613.13,late
TXN00057971,LOAN005786,,9953.13,paid
TXN00057972,LOAN011056,,9539.95,paid
TXN00057968,LOAN002312,,11027.86,late
TXN00023729,LOAN008930,,394.84,unknown
TXN00023727,LOAN001991,,419.68,paid
TXN00023728,LOAN008125,,388.63,paid
TXN00023726,LOAN000470,,376.49,paid
TXN00033035,LOAN004777,,4851.08,paid
TXN00033038,LOAN009733,,4304.03,paid
TXN00033039,LOAN010086,,0,late
TXN00033036,LOAN005254,,4413.94,paid
TXN00016926,LOAN004327,,5626.69,paid
TXN00016922,LOAN002584,,0,missed
TXN00016925,LOAN005569,21-01-2024,5904.28,late
TXN00016923,LOAN003466,,5645.41,paid
TXN00016924,LOAN005288,,5151.7,late
TXN00023268,LOAN004659,07-03-2021,23393.4,paid
TXN00023267,LOAN008674,,22683.51,paid
TXN00023269,LOAN005808,,22321.59,paid
TXN00023266,LOAN010191,,23252.11,no_transaction
TXN00054959,LOAN009817,,10541.47,paid
TXN00054960,LOAN001472,,10188.37,late
TXN00054958,LOAN010153,,10733.05,paid
TXN00054957,LOAN000581,14-02-2021,10385.52,paid
TXN00054961,LOAN008207,,10006.74,paid
TXN00063401,LOAN005474,,2767.32,no_transaction
TXN00063407,LOAN003307,,2481.96,paid
TXN00063404,LOAN005398,,2852.35,paid
TXN00063403,LOAN011404,,0,missed
TXN00063408,LOAN008516,,2765.47,late
TXN00063406,LOAN001908,,2829.74,paid
TXN00063405,LOAN007325,,2829.98,paid
TXN00063402,LOAN002033,,0,missed
TXN00057329,LOAN007117,,5659.21,late
TXN00057330,LOAN008458,,5215.27,paid
TXN00057331,LOAN011962,,0,missed
TXN00057328,LOAN007609,,4895.51,paid
TXN00009284,LOAN002973,,8644.47,paid
TXN00009286,LOAN006596,,8096.92,late
TXN00009279,LOAN007202,,8041.8,paid
TXN00009281,LOAN006997,,0,paid
TXN00009282,LOAN005047,,0,paid
TXN00009283,LOAN008243,,7762.69,late
TXN00009285,LOAN005600,,8603.25,paid
TXN00009280,LOAN004574,,0,paid
TXN00025956,LOAN004223,,42458.75,paid
TXN00025957,LOAN002015,,41731.2,paid
TXN00025955,LOAN008485,24-04-2021,0,missed
TXN00025958,LOAN010435,,40909.7,paid
TXN00052542,LOAN000909,,46013.575,late
TXN00052541,LOAN002753,,46013.575,paid
TXN00052539,LOAN000742,,46013.575,paid
TXN00052540,LOAN001839,,46013.575,paid
TXN00008126,LOAN000278,21-07-2022,1130.05,paid
TXN00008128,LOAN009636,,1010.84,late
TXN00008127,LOAN000306,,1042.2,paid
TXN00008125,LOAN010725,27-09-2023,1070.84,paid
TXN00008129,LOAN002519,,1101.64,paid
TXN00008130,LOAN006137,,994.5,paid
TXN00042536,LOAN010521,,4036.15,paid
TXN00042537,LOAN002851,,3978.85,late
TXN00042538,LOAN010774,,4294.71,paid
TXN00042533,LOAN008954,,3918.5,paid
TXN00042535,LOAN010927,,4189.06,late
TXN00042534,LOAN004840,04-08-2023,3845.48,paid
TXN00000453,LOAN003462,,46013.575,late
TXN00000452,LOAN008438,,46013.575,paid
TXN00000454,LOAN007998,,46013.575,late
TXN00000451,LOAN010162,22-05-2021,46013.575,paid
TXN00000450,LOAN010235,,46013.575,paid
TXN00034413,LOAN007191,,0,late
TXN00034414,LOAN005997,,1181.36,paid
TXN00034419,LOAN009140,,1254.32,paid
TXN00034420,LOAN006808,,1168.21,late
TXN00034415,LOAN001181,,1067.37,paid
TXN00034416,LOAN005118,,1260.38,paid
TXN00034417,LOAN011213,,1206.03,no_transaction
TXN00034412,LOAN002698,,1202.86,no_transaction
TXN00034418,LOAN005287,,0,missed
TXN00013667,LOAN010407,,28181.36,paid
TXN00013671,LOAN011338,,25056.96,paid
TXN00013668,LOAN000794,,27294.84,unknown
TXN00013669,LOAN000697,,26725.66,paid
TXN00019262,LOAN002104,,22587.73,paid
TXN00019259,LOAN011768,,22513.84,paid
TXN00019263,LOAN004672,,25079.81,paid
TXN00019258,LOAN002249,,21544.45,paid
TXN00019260,LOAN008602,,24700.61,paid
TXN00019261,LOAN011812,,22198.53,paid
TXN00046704,LOAN008063,,0,missed
TXN00046701,LOAN006860,,3251.63,paid
TXN00046700,LOAN005248,,0,missed
TXN00046706,LOAN010090,,3400.57,late
TXN00046703,LOAN003003,,3229.38,paid
TXN00046705,LOAN010401,,0,paid
