Customer_ID,Age,Gender,Income,Employment_Type,Years_of_Employment,Credit_Score
CUST00660,64,m,"$72,882",salaried,26,779
CUST03342,48,m,249015,BUSINESS OWNER,15,702
CUST03377,58,Male ,278018,Entrepreneur,28,640
CUST01901,22,Male,90337,Salaried,2,719
CUST05014,53,F,244601,Biz Owner,17,760
CUST02784,48,f,261352/-,Biz Owner,12,754
CUST02368,52,Male ,77053,salaried,28,767
CUST03469,26,M,87424,salaried,5,722
CUST02724,46,FEMALE,123835,salaried,18,728
CUST01064,43,f,83645,Entrepreneur,2,739
CUST01001,40,MALE,72815,SALARIED,18,686
CUST01303,40,f,104938,nan,4,562
CUST00807,22,female,7232,Unemployed,nan,807
CUST03677,63,Unknown,113768,salaried,14,769
CUST05331,62,f,113405,Sal.,26,654
CUST00875,40, Female,59624,Self-Employed,6,850
CUST03057,36, Female,76849,FREELANCER,11,809
CUST01977,27,FEMALE,Unknown,freelancer,7,718
CUST02823,62,FEMALE,84390, ,7,742
CUST02601,33,F,61500,SALARIED,2,667
CUST01568,44,m,31661,Sal.,4,610
CUST02908,50, Female,nan,Full-Time,4,757
CUST05941,#N/A,Male,201838,Business Owner,14,Unknown
CUST04124,64, Female,215377,Entrepreneur,18,-50
CUST00232,56,FEMALE,210146,BUSINESS OWNER,nan,742
CUST05776,31,Male,5473,unemployed,0,Unknown
CUST01994,26,MALE,239976,Business owner,3,784
CUST05578,31,nan,134740,Business Owner,6,632
CUST05899,52,F,290737,BUSINESS OWNER,27,731
CUST05503,,Other,53388,Sal.,2,793
CUST01870,58,Male,29461,self-employed,999,629
CUST04281,200,Male,19543,Freelancer,9,685
CUST01653,62,f,"$42,768",Gig Worker,14,817
CUST05672,23,Female,90970,Full-Time,2,746
CUST05898,61,Male,108393,Sal.,15,729
CUST05032,38,female,35742.00,Sal.,6, 
CUST00024,32,FEMALE,Unknown,Salaried,12,585
CUST02996,54,FEMALE,50935,Salaried,27,732
CUST03158,7,female,50931,Sal.,23,NULL
CUST02326,29,f,"$35,892",SALARIED,2,692
CUST01168,27,male,nan,BUSINESS OWNER,5,685
CUST05364,50,Female, ,salaried,30,793
CUST05996,23,f,102345,Sal.,3,651
CUST02933,27,MALE,126625,SALARIED,#N/A,824
CUST02809,48,MALE,-5000,Salaried,6,784
CUST00368,38,female,99999999,Full-Time,1,680
CUST05318,32,male,44355,Salaried,5,605
CUST00158,40,FEMALE,50713,Self Employed,9,792
CUST05849,35, Female,59610,SALARIED,#N/A,653
CUST01153,39,Male ,79240,Free Lancer,3,720
CUST02123,39,f,69917,Freelancer,11,630
CUST04922,50,female,INR 70916,Full-Time,22,662
CUST05918,27,Female,21428,Freelancer,7,842
CUST05293,nan,m,45664,Self-Employed,12,850
CUST01995,nan,female,100528,BUSINESS OWNER,15,667
CUST01848,25,female,100875,salaried,1,726
CUST00290,Unknown,m,103989,Full-Time,14,663
CUST01076,53,Male ,71626,Salaried,5,580
CUST04725,57,FEMALE,138433,salaried,27,850
CUST00114,21,female,46514,Full-Time,1,704
CUST00413,60,Male ,66768,SALARIED,16,711
CUST04817,65,f,45109,Self Employed,6,725
CUST00301,49,FEMALE,"$138,326",Full-Time,20,774
CUST03597,38,MALE,60605,salaried,9,724
CUST03066,43,FEMALE,119162,Sal.,12,679
CUST04751,58,F,6818,UNEMPLOYED, ,812
CUST03756,39,Male ,73254,Free Lancer,18,619
CUST00161,53,F,88121,Full-Time,9,736
CUST03295,43,Male ,54832,Self employed,5,729
CUST05029,-5,Male,98333,Salaried,2,667
CUST00845,64,female,285723,Business Owner,23,722
CUST02834,30,male,INR 155462,Biz Owner,3,820
CUST00084,56,female,32666,Self Employed, ,770
CUST05844,24,f,47804,self-employed,2,678
CUST05266,34,FEMALE,106838,Sal.,5,850
CUST02507,60,Male,54080,self-employed,33,600
CUST03175,26,F,90019,Salaried,1,#N/A
CUST00382,NULL,M,35838,FREELANCER,1,580
CUST01665,37,Male,62415,salaried,4,709
CUST02585,48,Male,68292,Salaried,NULL,564
CUST04408,31, Female,70692,Business owner,5,691
CUST00422,62, Female,101335,Salaried,34,831
CUST04737,46,Female,132795,salaried,24,828
CUST03492,59,Male ,257688,,11,675
CUST05928,52,m,263822,Business Owner,10,666
CUST02157,64,M,2914,Jobless,0,705
CUST01182,60, Female,"$81,412",Full-Time,10,639
CUST04837,45, Female,171765,Business Owner,21,643
CUST04367,49,FEMALE,140029,Salaried,100,850
CUST01772,44,Female,42326,Self-Employed,4,553
CUST04106,130,Male ,"$278,674",,24,816
CUST03490,35,female,82382,Sal.,11,636
CUST01503,48,M,61808,Sal.,12,739
CUST05287,55,M,18116,Freelancer,1,703
CUST05027,24, Female,INR 154738,Biz Owner,3,551
CUST01623,31,m,65486,Full-Time,2,809
CUST01946,55,Male,38205,salaried,25,690
CUST05347,45,FEMALE,78001,self-employed,14,Unknown
CUST03948,29, Female,66832,Full-Time,6,850
CUST05568,59,Female,43767,Freelancer,24,#N/A
CUST03612,21,Female,7723,Unemployed,0,746
CUST00283,21,f,98281,self-employed,1,659
CUST03385,50,NB,22242,FREELANCER,27,791
CUST01315,33,male,104706,Self Employed,4,575
CUST03211,30,F,100373,self-employed,6,773
CUST02671,47,F,164668,BUSINESS OWNER,27,669
CUST03412,46,F,70666,Entrepreneur,17,
CUST00079,26,female,INR 73073,Sal.,2,632
CUST01499,47,FEMALE,103583,BUSINESS OWNER,25,Unknown
CUST01458,60,female,127337,Salaried,35,693
CUST01300,27,nan,64013,self-employed,4,749
CUST03917,47,FEMALE,44299,Sal.,4,614
CUST04413,57,female,65128,SALARIED,22,688
CUST03705,60,m,47438,Self Employed,8,850
CUST00766,54,MALE,46091,Full-Time,30,826
CUST01434,58,female,47638,SALARIED,11,577
CUST00686,38,f,INR 276970,Business owner,13,760
CUST05399,61,f,"$81,572",Salaried,19,697
CUST05801,33,male,66246,Full-Time,11,801
CUST00595,63,F,119074,SALARIED,31,712
CUST03395,58,MALE,51983,NULL,15,626
CUST04307,130,MALE,89721,Biz Owner,nan,818
CUST05123,46,f,278036,BUSINESS OWNER,21,699
CUST04850,26,f,69450,FREELANCER,1, 
CUST02117,27,Female,55100,Biz Owner,1,794
CUST02572,40, Female,105348,SALARIED,4,726
CUST01424,50,Female,110370,Full-Time,7,606
CUST01066,57,Female,"$33,644",SE,9,643
CUST02487,63,M,106425,salaried,31,767
CUST01974,58,Female,97617,Full-Time,14,nan
CUST04616,37,MALE,107489,Full-Time,13,748
CUST05440,28,Male ,112415,Self Employed,8,793
CUST03452,42, Female,231459,Entrepreneur,2,563
CUST05068,27,f,"$100,070",Sal.,1,725
CUST05061,45,Female,59505,Self Employed,22,642
CUST00741,37,FEMALE,67566,Self-Employed,8,761
CUST03073,nan,MALE,127869,Full-Time,5,710
CUST00922,22,m,44533,Sal.,1,591
CUST04189,33,Male,#N/A,Self employed,6,550
CUST03294,24,female,51167,Full-Time,3,768
CUST04032,40,Female,125463,#N/A,4,672
CUST01973,34,f,87723,#N/A,2,811
CUST01717,28,Male,251984,Entrepreneur, ,615
CUST04886,59,FEMALE,71820,FREELANCER, ,463
CUST00784,47,FEMALE,125101,Sal.,16,#N/A
CUST00716,46,FEMALE,122262,SALARIED,N/A,638
CUST05415,39,Female,32141,freelancer,4,698
CUST04286,57,Female,99980,salaried,15,662
CUST02603,42,N/A,30638,Self-Employed,NULL,786
CUST05642,56,Male,38202,Self employed,15,561
CUST05551,46,FEMALE,58041,self-employed,18,825
CUST02881,57,N/A,119874,Business owner,24,813
CUST04755,36,m,69862,Sal.,2,724
CUST01329,48,Male,193347,nan,14,
CUST02458,N/A,male,20314,Self Employed,30,N/A
CUST02075,43,FEMALE,62570,freelancer,15,666
CUST03693,58,Female,58733,Free Lancer,17,677
CUST03630,25,female,97620,Full-Time,2,684
CUST03548,130,Male ,72562,Salaried,15,785
CUST00906,65,N/A,142170,salaried,12,651
CUST05781,55,male,135795,salaried,12,774
CUST05485,32,m,22978,Freelancer,3,794
CUST04003,45,m,251932,Business Owner,19,817
CUST03768,56,FEMALE,90146,Business owner,33,584
CUST02617,61,#N/A,INR 1902,unemployed,0,692
CUST04338,23,male,81707,Full-Time,1,553
CUST00804,130,m,148107,Sal.,,714
CUST01254,59,Male ,223229,Entrepreneur,11,743
CUST01828,38,f,69461,Full-Time,9,775
CUST01058,36,N/A,38616,Self Employed,15,700
CUST00303,0,M,42327,freelancer,30,850
CUST04698,48,m,N/A,Salaried,27,701
CUST00485,23,Male ,57765,Salaried,3,678
CUST00960,46,Male ,17804,Freelancer,25,636
CUST03943,30,f,"$92,353",SALARIED,4,658
CUST00215,31,MALE,95426,SALARIED,5,703
CUST02286,23,female,101134,salaried,2,646
CUST05942,40,female,234104,Entrepreneur,10,701
CUST04273,42,M,53457,N/A,4,629
CUST05260,,female,43798,salaried,10,430
CUST05426,51, Female,121410,salaried,7,
CUST00364,65,F,63668,salaried,32,717
CUST01304,29,Female,136403,Salaried,8,709
CUST03511,30,M,280400,Entrepreneur,-3,734
CUST00333,36,F,434,unemployed,0,735
CUST02594,25,f,51650,Self-Employed,1,825
CUST00284,#N/A,f,-1,salaried,32,618
CUST03265,47,FEMALE,N/A,Self Employed,7,689
CUST03512,21,F,131875,Sal., ,732
CUST01898,58,M,121104,Full-Time,N/A,850
CUST03320,51,F,65437/-,Full-Time,6,850
CUST01096,24,F,101110,salaried,2,798
CUST02686,24,NULL,34095,Sal.,Unknown,784
CUST00557,21,Male ,286016,Entrepreneur,1,668
CUST02000,52,Male,59367,self-employed,5,792
CUST03100,64,Male ,35222/-,SE,16,676
CUST00281,55,m,128519,SALARIED,35,680
CUST04661,59,f,89555,Salaried,13,782
CUST03549,63,Male,107157,Full-Time,15,733
CUST04882,22,M,46809,Sal.,NULL,800
CUST01144,54,f,56218,Self-Employed,30,829
CUST02090,46,Male,80109,Self-Employed,#N/A,677
CUST04382,44,MALE,99999999,Sal.,7,705
CUST01201,33,Male,58068,Self Employed,12,773
CUST02091,35,m,87153,Full-Time,12,618
CUST03016,Unknown,Male ,265371,Entrepreneur,11,829
CUST05695,44,M,46659,Full-Time,8,777
CUST01160,33,f,30089,Full-Time,2,662
CUST01759,46,Male,77260,Entrepreneur,22,730
CUST05843,27,Male,106338,Full-Time,5,753
CUST02976,0,,66304,Sal.,23,716
CUST01619,26,male,72269,Full-Time,5,729
CUST00503,53,MALE,130949,Full-Time,21,715
CUST00182,43,FEMALE,41656,SE,8,794
CUST00711,54,female,269431,BUSINESS OWNER,18,830
CUST02759,26,Male ,127061,Full-Time,5,802
CUST02527,42,m,5115,Unemployed,0,716
CUST03725,54,m,77332,BUSINESS OWNER,11,832
CUST00634,47,f,48510,Salaried,5,621
CUST01026,49,Male ,193245,Entrepreneur,8,801
CUST02153, ,f,9690,Jobless,0,806
CUST02308,29,Female,140615.00,salaried,2,699
CUST02192,37,male,"$44,913",SALARIED,1,682
CUST03109,57,m,72351,Entrepreneur,Unknown,689
CUST03079,47,FEMALE,132342,Business owner,22,742
CUST04542,62,F,202094,BUSINESS OWNER,34,672
CUST03364,51,M,114284,Sal.,4,668
CUST05327,30,MALE,29777,self-employed,6,752
CUST02952,29,female,92697,Business owner,5,Unknown
CUST03987,31,F,68105,Self-Employed,11,741
CUST02332,61,m,160404,Biz Owner,10,592
CUST01406,60,male,85985,SE,26,684
CUST01691,35,Male,21667,self-employed,12,637
CUST01784,22,M,119833,Sal.,2,654
CUST02038,43,male,181728.00,Business Owner,1,665
CUST00912,44,Female,91140,Full-Time,12,654
CUST01249,44, Female,123728,Sal.,12,810
CUST00273,57,Male ,138097,SALARIED,35,698
CUST00898,58,female,42484,Self Employed,31,649
CUST00327,46, Female,31271,Gig Worker,7,645
CUST03622,28,Male,46421,SALARIED,1,762
CUST02930,30,FEMALE,18270,freelancer,9,768
CUST03178,24,M,101310,Self employed,1,743
CUST04827,51,F,94993,#N/A,20,703
CUST05204,33,f,97469,Salaried,Unknown,748
CUST04621,34,F,34394,SALARIED,2,647
CUST04821,31,FEMALE,195240,Entrepreneur,6,nan
CUST05070,24,Male ,18,unemployed,0,999
CUST03857,44,Female,7301/-,Not Employed,0,655
CUST02496,61,N/A,36183,Self Employed,21,686
CUST05190,65,Male,49272,Free Lancer,35,608
CUST02990,22, Female,162238,Business owner,1,562
CUST04217,26,m,103500,Full-Time,2,810
CUST05321,64,m,115419,Sal.,11,850
CUST04609,44,m,110455,Sal.,11,532
CUST01138,22,f,114140,BUSINESS OWNER,Unknown,610
CUST03625,27,Female,69746,Sal.,2,679
CUST05696,62, ,84055,Entrepreneur,28,704
CUST02207,51,Male ,137276,Business Owner,8,Unknown
CUST04354,27, Female,211227,Entrepreneur,3,850
CUST05534,55,female,280737,Business owner,,754
CUST02919,58,MALE,140414,Full-Time,2,533
CUST00743,33,FEMALE,68917,Full-Time,7,nan
CUST01197,61,female,44839,Sal.,21,672
CUST03766,25,female,106105,SALARIED,2,780
CUST04897,32,female,INR 116771,SALARIED,4,719
CUST03962,22,f,78666,freelancer,1,760
CUST00197,23,male,147211,N/A,1,745
CUST04890,56,FEMALE,113932,Salaried,24,769
CUST05408,53,Male,16780,Gig Worker,29,699
CUST00909,28,F,35344,freelancer,8,546
CUST01593,65,Female,128127/-,Business Owner,8,808
CUST05265,53,Male,63908,Salaried,29,Unknown
CUST02463,32,Male ,275690,Business owner,999,661
CUST00737,56,MALE,Unknown,SE,7,659
CUST05610,NULL,female,45164,FREELANCER,16,651
CUST05652,46,female,60171,salaried,24,675
CUST03979,64,MALE,32259,Salaried,35,Unknown
CUST00756,65, ,59528,BUSINESS OWNER,5,818
CUST01782,51,male,35846,Salaried,25,712
CUST03167,50,m,85360,Sal.,3,707
CUST04237,38,MALE,91177,Full-Time,3,746
CUST03328,45,male,16420,Freelancer,9,850
CUST01990,23,M,133658,salaried,2,633
CUST04642,26,f,297434,Entrepreneur,5,533
CUST05505,58,Male ,INR 80973,Full-Time,17,567
CUST03325,45,m,39912,Full-Time,22,749
CUST01181,52,female,56096,SALARIED,11,714
CUST00458,53,m,2016,unemployed,0,779
CUST04858,58,female,26767,Freelancer,20,767
CUST01789,43,m,88499,SALARIED,5,850
CUST03592,61,Male,267263,Business Owner,23,0
CUST05933,36, Female,62130,salaried,4,670
CUST00474,61,FEMALE,136647,Salaried,NULL,758
CUST03742,29, Female,84505,#N/A,2,671
CUST00065,27, Female,37066,Sal.,3,599
CUST00376,55,m,106285,salaried,28,657
CUST02164,28,Male ,65736,Salaried,4,707
CUST01768,48,Male,35814,Full-Time,100,
CUST00653,22,MALE,37475,SALARIED,1,746
CUST03145,34,Male ,81493,Full-Time,4,850
CUST03997,63,Female,134736,Salaried,6,559
CUST03710,23,Female,59045,freelancer,#N/A,806
CUST05017,28,Male,128637,SALARIED,4,774
CUST05270,45,Female,121100,SALARIED,22,850
CUST02146,46,Male,45958,Self Employed,14,498
CUST00285,57,male,42584,Self Employed,28,757
CUST02191,33,M,124044.00,salaried,3,651
CUST00757,25,MALE,20288,Self employed,1,663
CUST01883,47,F,30998, ,1,546
CUST01660,43,MALE,123261,salaried,5,630
CUST05565,45,FEMALE,#N/A,SALARIED,17,Unknown
CUST04936,60,M,70662,Self Employed,-3,760
CUST03463,27,F,69877,Full-Time,2,743
CUST02339,40,female,113801,Self employed,5,829
CUST03404,23,M,81790,Salaried,2,765
CUST05609,57,FEMALE,#N/A,Salaried,1,659
CUST01769,32,FEMALE,234432,BUSINESS OWNER,5,612
CUST04216,63,f,104994,Self Employed,18,761
CUST01760,25,m,117079,Self Employed,5,816
CUST05720,7, Female,58449,SALARIED,6, 
CUST02056,38, Female,87687,SALARIED,4,625
CUST04603,41,f,64693,SALARIED,15,738
CUST05352,41,F,264232,BUSINESS OWNER,13,850
CUST02209,32,Male ,103166,Full-Time,7,792
CUST02562,56,Male,89292,Full-Time,16,656
CUST01735,55,FEMALE,nan,freelancer,16,712
CUST03905,46,Male,32132,freelancer,4,746
CUST01740,32, Female,175107,Entrepreneur,2,740
CUST03977,28,F,105616.00,Self employed,3,0
CUST01542,31, Female,34999.00,Self employed,4,803
CUST04425,40,MALE,90080,Self-Employed,16,746
CUST05740,58, Female,22164,Gig Worker,-3,999
CUST02434,41,Unknown,15304,Freelancer,20,661
CUST02156,N/A,Male,66550,Full-Time,#N/A,600
CUST01223,38,female,17712,FREELANCER,2,700
CUST02290,42,N/A,137912,Salaried,15,757
CUST02023,62,female,98786,Full-Time,20,761
CUST03639,36,f,7674,Jobless,0,529
CUST00431,39,FEMALE,82558,Self employed,10,666
CUST04431,60,F,INR 83519,BUSINESS OWNER,28,802
CUST02115,32,F,133926,Full-Time,3,757
CUST03809,59,male,63877,Salaried,100,740
CUST02685,47,M,8580,Unemployed,0,741
CUST03118,54, ,41009.00,Sal.,4,712
CUST03008,51,female,102034,SALARIED,31,809
CUST04429,45,m,42664,Full-Time,15,773
CUST03870,49,Male,71750,#N/A,10,654
CUST04570,33, Female,16942,Free Lancer,Unknown,850
CUST02782,61,Male ,INR 229254,Entrepreneur,3,716
CUST00111,33,female,61571,BUSINESS OWNER,8,827
CUST05042,32,MALE,149473,Sal.,3,573
CUST00220,54,FEMALE,85194,salaried,13,799
CUST03155,49,M,86900,Full-Time,17,773
CUST01807,38,F,102787,Biz Owner,NULL,461
CUST03233,43,female,93990,Salaried,13,666
CUST00689,28,female,Unknown,,4,799
CUST01693,23,male,52797,salaried,2,621
CUST02729,29,M,97070,Self employed,1,676
CUST04605,33,Female,49300,Salaried,11,nan
CUST03840,36,M,97361,Business owner,16,647
CUST03994,24,M,84901,Business Owner,3,696
CUST00226,56,m,39610,Sal.,1,538
CUST01644,30,male,19064,Gig Worker,1,737
CUST00571,34,male,41720,SALARIED,13,697
CUST04472,31,F,3745,unemployed,Unknown,683
CUST02726,30,MALE,76318,Free Lancer,1,721
CUST04716,60,Female,104223,Sal.,2,587
CUST05583,21,Female,109924,Self-Employed,N/A,676
CUST04052,62,M,#N/A,self-employed,19,769
CUST00104,39,FEMALE,45346,Freelancer,4,779
CUST03479,58,FEMALE,120511,Sal.,22,593
CUST00559,24,f,"$99,283",Self Employed,2,687
CUST00247,,M,20935,FREELANCER,6,703
CUST02967,46,Unknown,95539,SALARIED,16,
CUST00093,54,Female,296537,Business owner,27,839
CUST00522,36,FEMALE,196685,BUSINESS OWNER,14,822
CUST01736,28,Female,54848,Self-Employed,3,492
CUST02066,56,m,215154,Business owner,13, 
CUST03300,34,female,"$32,283",FREELANCER,4,Unknown
CUST03310,31,f,128666,Salaried,1,634
CUST01422,22,FEMALE,256647,BUSINESS OWNER,999, 
CUST05791,38,#N/A,33718,SALARIED,16,751
CUST04428,30,f,110944,SALARIED,4,531
CUST04724,59,Male ,73186,SALARIED,4,790
CUST05202,60,Male ,69627,BUSINESS OWNER,20,601
CUST00518,64,m,66238,BUSINESS OWNER,17,603
CUST00406,27,Female,94386,Full-Time,5,741
CUST02570,55,Female,123409,Business Owner,6,N/A
CUST03635,31,Male,113797,Self Employed,1,749
CUST02285,54,F,92462,Salaried,19,710
CUST04915,48,f,-1,Sal.,20,701
CUST02791,63,MALE,29676,Self-Employed,35,711
CUST03104,23,m,80268,SE,2,745
CUST04401,36,male,nan,Salaried,2,727
CUST05678,56,N/A,71110,Biz Owner,30,739
CUST01866,N/A,Male ,43009,SALARIED,4,601
CUST04879,29,FEMALE,149655,SALARIED,6,815
CUST05631,44,Female,144528,SALARIED,4,831
CUST01032,44,N/A,142178,Full-Time,18,561
CUST02641,40,MALE,92860,Sal.,4,
CUST00127,40,female,92415,SALARIED,3,718
CUST04525,46,Male,71765,Self employed,9,670
CUST05669,0,Male,82132,Unknown,13,617
CUST01583,36,male,"$79,094",Free Lancer,5,602
CUST03106,58,M,nan,SALARIED,23,845
CUST00491,45,f,82960,Full-Time,12,609
CUST01035,54,Female,233137,Business Owner,19,624
CUST03804,36,FEMALE,41307,Freelancer,13,804
CUST05006,31,Female,,Self Employed,8,614
CUST00782,25,Unknown,110497,salaried,3,850
CUST00869,35,MALE,"$67,321",Self employed,14,669
CUST05423,47,M,30752,Full-Time,14,708
CUST01451,34,Male,38975,Full-Time,4,552
CUST04027,36, Female,290522,Business owner,10,682
CUST03740,44,m,Unknown,Sal.,21,665
CUST05289,60,m,52141,FREELANCER,#N/A,534
CUST01148,26,Female,9650,UNEMPLOYED,0,581
CUST04639,61,nan,100113,Salaried,100,667
CUST04139,N/A, Female,5600,Jobless,nan,739
CUST00605,64,Non binary,77236,Sal.,32,774
CUST02180,60,Male,24545,Self employed,24,756
CUST04784,31,MALE,101137,salaried,2,660
CUST05786,34,M,NULL,,11,623
CUST04386,48,N/A,76697,freelancer,5,629
CUST02955,28,female,21738,SE,8,697
CUST01945,64,M,24077,Gig Worker,19,719
CUST01743,NULL,F,108174,Sal.,13,620
CUST05501,51,male,INR 39563,Salaried,#N/A,655
CUST05990,47, Female,109816,Self employed,9,674
CUST00069,25,F,99590,SALARIED,2,846
CUST05606,54,male,65189,freelancer,5,681
CUST05739,29, Female,NULL,Salaried,4,739
CUST05276,40, Female,149062,Full-Time,10,661
CUST00795,64,NB,61135,Self employed,21,850
CUST03618,22,M,135517,Full-Time,1,N/A
CUST02732,Unknown,f,47350,Free Lancer,3,621
CUST05367,55,Male,55837,BUSINESS OWNER,27,628
CUST04248,35,#N/A,84899,Self Employed,6,547
CUST02406,21,f,251524.00,Entrepreneur,1,669
CUST05048,50,M,110258.00,salaried,30,773
CUST02498,44,Female,90942,BUSINESS OWNER,22,611
CUST02577,39,M,220329,Business Owner,11,796
CUST03565,30, Female,85647,Self Employed,2,705
CUST05774,38,m,55616,Sal.,12,730
CUST04145,53,M,4240,Unemployed,0,767
CUST03222,49,Female,65628,Full-Time,7,726
CUST00590,51, Female,70045,Self Employed,27,627
CUST00708,44,M,116243,self-employed, ,691
CUST01328,61,female,140596,salaried,6,718
CUST05020,46,FEMALE,291460,BUSINESS OWNER,25,712
CUST02883,40,F,82508,Salaried,11,652
CUST04680,26,FEMALE,85111,Full-Time, ,590
CUST05012,62,m,121437,SALARIED,24,722
CUST04295,44,female,27994,freelancer,18,614
CUST05787,49,F,82122,Salaried,16,669
CUST01688,38, Female,33626,freelancer,6,758
CUST04527,50,NULL,96721,Self Employed,-3,584
CUST02998,36,Female,90974,self-employed,7,721
CUST03058,45,Female,85123,salaried,8,623
CUST02409,58,,48332,Sal.,28,785
CUST02221,42,F,299052,Biz Owner,17,723
CUST00964,50,MALE,30106,Sal.,,745
CUST03760,26,m,84161,Self employed,2,675
CUST02852,26, Female,41136,SALARIED,4,755
CUST04851,52,NB,210428,Business owner,29,850
CUST01797,21,male,137610,Salaried,1,681
CUST01775,38,female,33278,Self Employed,nan,686
CUST01584,52,MALE,43912,Salaried,23,732
CUST05496,52,m,142750.00,NULL,32,797
CUST05734,52,female,76779,SE,27,Unknown
CUST04266,35,M,139721,SALARIED,13,734
CUST04647,40,female,66123,Self employed,14,
CUST05130,54,Male,90376,Full-Time,9,539
CUST03376,35,male,100140,Self employed,,700
CUST01719,56, Female,44788,Free Lancer,29,693
CUST02334,25,Unknown,144834,BUSINESS OWNER,4,631
CUST02475,30,M,147652,SALARIED,10,781
CUST02924,30, Female,25148,Self Employed,3,712
CUST05900,26,M,141210,Full-Time,3,637
CUST05797,51,f,130106,SALARIED,5,711
CUST02642,62,F,76716,SALARIED,25,808
CUST04929,45,Male ,INR 52022,Self employed,3,657
CUST05749,30,Male ,77647,Full-Time,2,675
CUST02509,60,m,92587,SALARIED,4,850
CUST05409,23,MALE,138050,Business owner,3,648
CUST03564,61,Female,68292,salaried,-3,716
CUST03621,33,FEMALE,#N/A,Entrepreneur,6,742
CUST00185,59,f,30176,#N/A,26,693
CUST05961,61,Male ,87524,Full-Time,18,#N/A
CUST04801,7,Male ,91131,SE,4,nan
CUST05618,45,Male,19084,Free Lancer,21,803
CUST04620,27,Male ,131594,N/A,5,515
CUST02510,46,FEMALE,37708,Freelancer,11,682
CUST03230,37,Male ,143006,Salaried,12,nan
CUST02257,45,male,60064,Self employed, ,850
CUST03991,29, Female,60620,salaried,4,695
CUST01749,41,F,109045,Business Owner,21,721
CUST04529,44,m,102782.00,Sal.,10,837
CUST02348,37,Male,4230,Jobless,0,564
CUST03904,27,male,110841,Biz Owner,6,735
CUST01291,55,F,146740,salaried,6,663
CUST04199,38,f,148908,N/A,6,814
CUST05465,53,Male,111731,nan,33,658
CUST00683,39,M,99343,Full-Time,1,636
CUST03811,50,MALE,110375,SALARIED,29,687
CUST04759,23,FEMALE,21616,Free Lancer,1,691
CUST03609,37,M,99999999,Freelancer,11,718
CUST03289,21,MALE,55688,Entrepreneur,1,615
CUST04547,33,male,36853,Full-Time,nan,759
CUST00627,58,m,62338,Salaried, ,770
CUST00456,39,f,69730,Full-Time,7,648
CUST00188,27,m,7878,UNEMPLOYED,0,601
CUST02515,47,Non-Binary,85575,Sal.,2,671
CUST00486,61,f,214275,BUSINESS OWNER,26,772
CUST01312,49,m,120919,Entrepreneur,2,681
CUST04252,22,female,58347,Salaried,1,766
CUST04726,26,m,29378,self-employed,3,561
CUST02041,42,male,80810,Salaried,100,749
CUST03202,64,Female,65139,Business Owner,8,NULL
CUST02166,63,Female,86176,Full-Time,24,783
CUST00619,59,MALE,60264,Full-Time, ,684
CUST02425,N/A,m,282489,Business Owner,13,807
CUST00749,62, Female,148750/-,Sal.,1,735
CUST03591,28,MALE,103913, ,6,469
CUST01794,52,M,105310,Full-Time,26,737
CUST00777,51,M,65607,N/A,18,765
